round	accuracy	precision	recall	f1_score	loss
118	0.9290	0.9380	0.9742	0.9558	0.5055
119	0.9290	0.9380	0.9742	0.9558	0.5055
120	0.9290	0.9380	0.9742	0.9558	0.5057
121	0.9290	0.9380	0.9742	0.9558	0.5057
122	0.9290	0.9380	0.9742	0.9558	0.5057
123	0.9290	0.9380	0.9742	0.9558	0.5057
124	0.9290	0.9380	0.9742	0.9558	0.5061
125	0.9290	0.9380	0.9742	0.9558	0.5067
126	0.9290	0.9380	0.9742	0.9558	0.5075
127	0.9290	0.9380	0.9742	0.9558	0.5075
128	0.9290	0.9380	0.9742	0.9558	0.5075
129	0.9290	0.9380	0.9742	0.9558	0.5085
130	0.9290	0.9380	0.9742	0.9558	0.5085
131	0.9290	0.9380	0.9742	0.9558	0.5098
132	0.9290	0.9380	0.9742	0.9558	0.5114
133	0.9290	0.9380	0.9742	0.9558	0.5133
134	0.9290	0.9380	0.9742	0.9558	0.5133
135	0.9290	0.9380	0.9742	0.9558	0.5158
136	0.9290	0.9380	0.9742	0.9558	0.5189
137	0.9290	0.9380	0.9742	0.9558	0.5230
138	0.9290	0.9380	0.9742	0.9558	0.5287
139	0.9290	0.9380	0.9742	0.9558	0.5287
140	0.9290	0.9380	0.9742	0.9558	0.5287
141	0.9310	0.9425	0.9716	0.9569	0.5382
142	0.9310	0.9425	0.9716	0.9569	0.5382
143	0.9310	0.9425	0.9716	0.9569	0.5382
144	0.9310	0.9425	0.9716	0.9569	0.5382
145	0.9391	0.9566	0.9665	0.9615	0.8069
146	0.9189	0.9555	0.9407	0.9481	0.8069
147	0.9189	0.9555	0.9407	0.9481	0.8069
148	0.9189	0.9555	0.9407	0.9481	0.8069
149	0.9087	0.9432	0.9407	0.9419	0.8069
150	0.9087	0.9432	0.9407	0.9419	0.8069
151	0.9087	0.9432	0.9407	0.9419	0.8069
152	0.9087	0.9432	0.9407	0.9419	0.8069
153	0.9087	0.9432	0.9407	0.9419	0.8069
154	0.9087	0.9432	0.9407	0.9419	0.8069
155	0.9087	0.9432	0.9407	0.9419	0.8069
156	0.9087	0.9432	0.9407	0.9419	0.8069
157	0.9087	0.9432	0.9407	0.9419	0.8069
158	0.9087	0.9432	0.9407	0.9419	0.8069
159	0.9087	0.9432	0.9407	0.9419	0.8069
160	0.9087	0.9432	0.9407	0.9419	0.8069
161	0.9087	0.9432	0.9407	0.9419	0.8070
162	0.9087	0.9432	0.9407	0.9419	0.8070
163	0.9087	0.9432	0.9407	0.9419	0.8070
164	0.9087	0.9432	0.9407	0.9419	0.8071
165	0.9087	0.9432	0.9407	0.9419	0.8071
166	0.9087	0.9432	0.9407	0.9419	0.8071
167	0.9087	0.9432	0.9407	0.9419	0.8071
168	0.9087	0.9432	0.9407	0.9419	0.8071
169	0.9087	0.9432	0.9407	0.9419	0.8071
170	0.9087	0.9432	0.9407	0.9419	0.8071
171	0.9087	0.9432	0.9407	0.9419	0.8071
172	0.9087	0.9432	0.9407	0.9419	0.8071
173	0.9087	0.9432	0.9407	0.9419	0.8072
174	0.9087	0.9432	0.9407	0.9419	0.8072
175	0.9087	0.9432	0.9407	0.9419	0.8074
176	0.9087	0.9432	0.9407	0.9419	0.8074
177	0.9087	0.9432	0.9407	0.9419	0.8074
178	0.9087	0.9432	0.9407	0.9419	0.8074
179	0.9087	0.9432	0.9407	0.9419	0.8074
180	0.9087	0.9432	0.9407	0.9419	0.8077
181	0.9087	0.9432	0.9407	0.9419	0.8077
182	0.9087	0.9432	0.9407	0.9419	0.8077
183	0.9087	0.9432	0.9407	0.9419	0.8080
184	0.9087	0.9432	0.9407	0.9419	0.8080
185	0.9087	0.9432	0.9407	0.9419	0.8080
186	0.9087	0.9432	0.9407	0.9419	0.8084
187	0.9087	0.9432	0.9407	0.9419	0.8084
188	0.9087	0.9432	0.9407	0.9419	0.8088
189	0.9087	0.9432	0.9407	0.9419	0.8092
190	0.9087	0.9432	0.9407	0.9419	0.8097
191	0.9087	0.9432	0.9407	0.9419	0.8097
192	0.9087	0.9432	0.9407	0.9419	0.8097
193	0.9087	0.9432	0.9407	0.9419	0.8097
194	0.9087	0.9432	0.9407	0.9419	0.8097
195	0.9087	0.9432	0.9407	0.9419	0.8097
196	0.9087	0.9432	0.9407	0.9419	0.8097
197	0.9087	0.9432	0.9407	0.9419	0.8097
198	0.9087	0.9432	0.9407	0.9419	0.8097
199	0.9087	0.9432	0.9407	0.9419	0.8097
200	0.9087	0.9432	0.9407	0.9419	0.8103
