client_id	round	val_accuracy	val_f1_score	val_loss	val_precision	val_recall
14	1	0.9447731755424064	0.9628647214854111	0.27166712126822107	0.9654255319148937	0.9603174603174603
12	1	0.9339805825242719	0.9512893982808023	0.44465127865452175	0.9431818181818182	0.9595375722543352
4	1	0.9434697855750487	0.9575402635431918	0.22366135763991815	0.956140350877193	0.9589442815249267
5	1	0.958904109589041	0.97165991902834	0.2680993515278057	0.9703504043126685	0.972972972972973
1	1	0.9432048681541582	0.964735516372796	0.2945189692615555	0.9433497536945813	0.9871134020618557
15	2	0.6884615384615385	0.8076009501187649	0.5364562800095776	0.6813627254509018	0.9912536443148688
7	2	0.7687861271676301	0.8672566371681416	0.48272762437463046	0.7671232876712328	0.9974554707379135
11	2	0.7869481765834933	0.8776185226019846	0.4581208180304979	0.7834645669291339	0.9974937343358395
12	2	0.8038834951456311	0.8723135271807838	0.44242308510766043	0.7752808988764045	0.9971098265895953
9	2	0.6888045540796964	0.8136363636363636	0.5309824521001455	0.685823754789272	1.0
14	3	0.7692307692307693	0.865979381443299	0.464488924110564	0.7636363636363637	1.0
5	3	0.735812133072407	0.8457142857142858	0.4814622506415473	0.7326732673267327	1.0
6	3	0.7128309572301426	0.8323424494649228	0.563195870058292	0.7128309572301426	1.0
10	3	0.7168784029038112	0.8347457627118644	0.5496331319491528	0.7163636363636363	1.0
2	3	0.718562874251497	0.833922261484099	0.5469622411257479	0.7151515151515152	1.0
4	4	0.6647173489278753	0.7985948477751756	0.5467655857774399	0.6647173489278753	1.0
2	4	0.7225548902195609	0.8358913813459268	0.5177761967236731	0.718052738336714	1.0
5	4	0.7592954990215264	0.8574739281575898	0.4603897664011131	0.7505070993914807	1.0
11	4	0.781190019193858	0.875	0.46748777444437944	0.7777777777777778	1.0
1	4	0.7910750507099391	0.8828213879408419	0.4494343318706104	0.790224032586558	1.0
8	5	0.720532319391635	0.8375690607734807	0.5496545484883522	0.720532319391635	1.0
3	5	0.7140186915887851	0.8331515812431843	0.5555781220035555	0.7140186915887851	1.0
9	5	0.6793168880455408	0.8090395480225989	0.5593594319535232	0.6793168880455408	1.0
4	5	0.6647173489278753	0.7985948477751756	0.5388428639416556	0.6647173489278753	1.0
12	5	0.6737864077669903	0.8046511627906977	0.5424207402834298	0.6731517509727627	1.0
12	6	0.6737864077669903	0.8046511627906977	0.5373398729220561	0.6731517509727627	1.0
10	6	0.7168784029038112	0.8347457627118644	0.543670592406957	0.7163636363636363	1.0
6	6	0.7128309572301426	0.8323424494649228	0.5359876661431869	0.7128309572301426	1.0
