,Client 1,Client 2,Client 3,Client 4,Client 5,Client 6,Client 7,Client 8,Client 9,Client 10,Client 11,Client 12,Client 13
Client 1,1.0,0.14550795514304796,-0.022909928728135926,0.12000718305539582,0.023208440545343743,-0.2685251523688256,-0.08729071978690721,0.09966321066324098,-0.18751771720321345,-0.08740002256244753,-0.10062738843444953,-0.23602476224652005,-0.2563605973551515
Client 2,0.14550795514304796,1.0,-0.1473515760631347,-0.05755400653853156,0.1782944482586518,-0.07465638205523614,-0.10790627675624513,0.02045554163942186,0.001033226476036132,-0.41903711646209524,-0.2707437747350637,-0.03617730764029231,0.041946428906335695
Client 3,-0.022909928728135926,-0.1473515760631347,1.0,-0.08751050468117046,0.2687135387715855,0.021452693310937836,-0.021132179382550194,-0.3209367499480029,-0.4370744464707783,0.18316816181567713,0.292258524082467,-0.6151877165056302,-0.0793917627240927
Client 4,0.12000718305539582,-0.05755400653853156,-0.08751050468117046,1.0000000000000004,-0.3862883605736527,-0.22337296261585562,-0.34545316248973307,0.06847550097286323,-0.26335270202399785,-0.05703265669925463,0.3933097606848035,-0.0378528547815906,-0.244903480108539
Client 5,0.023208440545343743,0.1782944482586518,0.2687135387715855,-0.3862883605736527,1.0000000000000007,0.28679307694504036,-0.07402351922420586,-0.5306734312905773,-0.14755519744670365,-8.958176478644052e-05,-0.21203161252791072,-0.1407316839947986,-0.2481484020789543
Client 6,-0.2685251523688256,-0.07465638205523614,0.021452693310937836,-0.22337296261585562,0.28679307694504036,0.9999999999999996,-0.0997013611817354,-0.23048206864294957,-0.05209577362210487,-0.09358421438645283,0.06958900024837908,-0.2276394643646432,-0.30475428623398937
Client 7,-0.08729071978690721,-0.10790627675624513,-0.021132179382550194,-0.34545316248973307,-0.07402351922420586,-0.0997013611817354,0.9999999999999999,0.19200141456664052,0.321016765963169,-0.3758103297568554,-0.3212716783134545,-0.06682554630931208,0.21621155613632037
Client 8,0.09966321066324098,0.02045554163942186,-0.3209367499480029,0.06847550097286323,-0.5306734312905773,-0.23048206864294957,0.19200141456664052,0.9999999999999997,0.025034498625750943,-0.06480680619865938,-0.22445861244961995,-0.03288744627626863,0.0017851729351722884
Client 9,-0.18751771720321345,0.001033226476036132,-0.4370744464707783,-0.26335270202399785,-0.14755519744670365,-0.05209577362210487,0.321016765963169,0.025034498625750943,0.9999999999999996,-0.3550174510896468,-0.39556916842115525,0.2355395177959554,0.35640219357099184
Client 10,-0.08740002256244753,-0.41903711646209524,0.18316816181567713,-0.05703265669925463,-8.958176478644052e-05,-0.09358421438645283,-0.3758103297568554,-0.06480680619865938,-0.3550174510896468,1.0,0.1757134632449709,0.12287813249758196,-0.29260982287929593
Client 11,-0.10062738843444953,-0.2707437747350637,0.292258524082467,0.3933097606848035,-0.21203161252791072,0.06958900024837908,-0.3212716783134545,-0.22445861244961995,-0.39556916842115525,0.1757134632449709,0.9999999999999996,-0.27601382314220124,-0.1258316432356174
Client 12,-0.23602476224652005,-0.03617730764029231,-0.6151877165056302,-0.0378528547815906,-0.1407316839947986,-0.2276394643646432,-0.06682554630931208,-0.03288744627626863,0.2355395177959554,0.12287813249758196,-0.27601382314220124,1.0000000000000007,0.1451554584164415
Client 13,-0.2563605973551515,0.041946428906335695,-0.0793917627240927,-0.244903480108539,-0.2481484020789543,-0.30475428623398937,0.21621155613632037,0.0017851729351722884,0.35640219357099184,-0.29260982287929593,-0.1258316432356174,0.1451554584164415,1.0000000000000004
