round	accuracy	precision	recall	f1_score
145	0.9391	0.9566	0.9665	0.9615
146	0.9189	0.9555	0.9407	0.9481
147	0.9189	0.9555	0.9407	0.9481
148	0.9189	0.9555	0.9407	0.9481
149	0.9087	0.9432	0.9407	0.9419
150	0.9087	0.9432	0.9407	0.9419
151	0.9087	0.9432	0.9407	0.9419
152	0.9087	0.9432	0.9407	0.9419
153	0.9087	0.9432	0.9407	0.9419
154	0.9087	0.9432	0.9407	0.9419
155	0.9087	0.9432	0.9407	0.9419
156	0.9087	0.9432	0.9407	0.9419
157	0.9087	0.9432	0.9407	0.9419
158	0.9087	0.9432	0.9407	0.9419
159	0.9087	0.9432	0.9407	0.9419
160	0.9087	0.9432	0.9407	0.9419
161	0.9087	0.9432	0.9407	0.9419
162	0.9087	0.9432	0.9407	0.9419
163	0.9087	0.9432	0.9407	0.9419
164	0.9087	0.9432	0.9407	0.9419
165	0.9087	0.9432	0.9407	0.9419
166	0.9087	0.9432	0.9407	0.9419
167	0.9087	0.9432	0.9407	0.9419
168	0.9087	0.9432	0.9407	0.9419
169	0.9087	0.9432	0.9407	0.9419
170	0.9087	0.9432	0.9407	0.9419
171	0.9087	0.9432	0.9407	0.9419
172	0.9087	0.9432	0.9407	0.9419
173	0.9087	0.9432	0.9407	0.9419
174	0.9087	0.9432	0.9407	0.9419
175	0.9087	0.9432	0.9407	0.9419
176	0.9087	0.9432	0.9407	0.9419
177	0.9087	0.9432	0.9407	0.9419
178	0.9087	0.9432	0.9407	0.9419
179	0.9087	0.9432	0.9407	0.9419
180	0.9087	0.9432	0.9407	0.9419
181	0.9087	0.9432	0.9407	0.9419
182	0.9087	0.9432	0.9407	0.9419
183	0.9087	0.9432	0.9407	0.9419
184	0.9087	0.9432	0.9407	0.9419
185	0.9087	0.9432	0.9407	0.9419
186	0.9087	0.9432	0.9407	0.9419
187	0.9087	0.9432	0.9407	0.9419
188	0.9087	0.9432	0.9407	0.9419
189	0.9087	0.9432	0.9407	0.9419
190	0.9087	0.9432	0.9407	0.9419
191	0.9087	0.9432	0.9407	0.9419
192	0.9087	0.9432	0.9407	0.9419
193	0.9087	0.9432	0.9407	0.9419
194	0.9087	0.9432	0.9407	0.9419
195	0.9087	0.9432	0.9407	0.9419
196	0.9087	0.9432	0.9407	0.9419
197	0.9087	0.9432	0.9407	0.9419
198	0.9087	0.9432	0.9407	0.9419
199	0.9087	0.9432	0.9407	0.9419
200	0.9087	0.9432	0.9407	0.9419
