round	accuracy	precision	recall	f1	specificity	loss
161	0.7375	0.8096	0.8660	0.8369	0.2883	0.5540193573532053
162	0.8036	0.8152	0.9665	0.8844	0.2342	0.44289910672905414
163	0.7535	0.7801	0.9510	0.8571	0.0631	0.6019374605975116
164	0.7014	0.7760	0.8660	0.8185	0.1261	0.5667550061842649
165	0.7154	0.7733	0.8969	0.8305	0.0811	0.609462058012017
166	0.7074	0.7689	0.8918	0.8258	0.0631	0.6843244559189791
167	0.7214	0.7785	0.8969	0.8335	0.1081	0.5975033101352601
168	0.8076	0.8318	0.9433	0.8841	0.3333	0.4323773644428982
169	0.7535	0.7874	0.9356	0.8551	0.1171	0.6004200556535781
170	0.7395	0.7959	0.8943	0.8422	0.1982	0.5387636281517603
171	0.7295	0.7792	0.9098	0.8395	0.0991	0.6255483484946031
172	0.8257	0.8223	0.9897	0.8982	0.2523	0.4514153211259843
173	0.7455	0.7843	0.9278	0.8501	0.1081	0.6067915372990483
174	0.7194	0.7768	0.8969	0.8325	0.0991	0.5686257988293948
175	0.7615	0.8036	0.9175	0.8568	0.2162	0.5552563338310433
176	0.7816	0.8053	0.9485	0.8710	0.1982	0.45892196687913805
177	0.7455	0.7919	0.9124	0.8479	0.1622	0.7770134769380762
178	0.7094	0.7768	0.8789	0.8247	0.1171	0.685542017706645
179	0.7535	0.7874	0.9356	0.8551	0.1171	0.5724667874627378
180	0.7415	0.7773	0.9356	0.8491	0.0631	0.5734339851191171
181	0.7214	0.7701	0.9149	0.8363	0.0450	0.6786470761835235
182	0.7836	0.7979	0.9665	0.8741	0.1441	0.4545730271621348
183	0.8056	0.8143	0.9716	0.8860	0.2252	0.4548098524068312
184	0.7014	0.7698	0.8789	0.8207	0.0811	0.7917551889612329
185	0.7234	0.7907	0.8763	0.8313	0.1892	0.5593573533981275
186	0.7375	0.7824	0.9175	0.8446	0.1081	0.5777017931896117
187	0.7475	0.7885	0.9227	0.8504	0.1351	0.5655226616246346
188	0.7335	0.7891	0.8969	0.8396	0.1622	0.5673179965174227
189	0.8036	0.8194	0.9588	0.8836	0.2613	0.44324844059807045
190	0.7475	0.8018	0.8969	0.8467	0.2252	0.5487114987740724
191	0.7355	0.7819	0.9149	0.8432	0.1081	0.5747658135278546
192	0.7194	0.7780	0.8943	0.8321	0.1081	0.5576733423553532
193	0.7876	0.7987	0.9716	0.8767	0.1441	0.4493392151027798
194	0.7154	0.7770	0.8892	0.8293	0.1081	0.5724998000922408
195	0.7876	0.8190	0.9330	0.8723	0.2793	0.4580710720349516
196	0.7635	0.8000	0.9278	0.8592	0.1892	0.5485949682703696
197	0.7375	0.7824	0.9175	0.8446	0.1081	0.5878708661585698
198	0.7375	0.7954	0.8918	0.8408	0.1982	0.5564515962853498
199	0.7335	0.7754	0.9253	0.8437	0.0631	0.5798707016290279
200	0.8317	0.8393	0.9691	0.8995	0.3514	0.4239296711471148
