RESOCONTO ADDESTRAMENTO FEDERATO SMARTGRID CON 5 CLIENT
================================================================================
Rounds completati: 150
Framework: Flower Federated Learning
================================================================================

TABELLA RIASSUNTIVA METRICHE:
=======================================================================================
Round  Loss       Accuracy   Precision   Recall     F1_Score   AUC_ROC    Specificity 
80     0.324324   0.903632   0.886542    0.992843   0.835772   0.968074   0.672947    
81     0.324968   0.904022   0.887662    0.991749   0.835772   0.967073   0.680488     
82     0.340756   0.896190   0.882661    0.986888   0.835772   0.965938   0.662260    
83     0.329662   0.898929   0.886298    0.985912   0.835772   0.967853   0.679187    
84     0.321963   0.896970   0.881642    0.989760   0.835772   0.970497   0.662189    
85     0.336072   0.894230   0.880140    0.987654   0.835772   0.965914   0.655966    
86     0.333697   0.896972   0.880874    0.990593   0.835772   0.965067   0.653412     
87     0.330099   0.897366   0.879920    0.992483   0.835772   0.966358   0.653150   
88     0.315657   0.901672   0.885689    0.991194   0.835772   0.969889   0.670450    
89     0.326533   0.899716   0.884781    0.989649   0.835772   0.968093   0.668657     
90     0.332092   0.893839   0.878594    0.988618   0.835772   0.965325   0.653848    
91     0.323495   0.902065   0.885659    0.991718   0.835772   0.967289   0.671130     
92     0.327984   0.901281   0.884689    0.991804   0.835772   0.964869   0.670980     
93     0.318897   0.903240   0.885356    0.993971   0.835772   0.968178   0.671000    
94     0.325081   0.897756   0.879908    0.992811   0.835772   0.968157   0.657122     
95     0.320321   0.898540   0.882711    0.990208   0.835772   0.968681   0.663940     
96     0.332691   0.898931   0.883868    0.989732   0.835772   0.966974   0.666082     
97     0.333660   0.891098   0.875626    0.989187   0.835772   0.965714   0.639094    
98     0.325078   0.896583   0.881754    0.988772   0.835772   0.965364   0.662330     
99     0.337495   0.894625   0.881230    0.986569   0.835772   0.965112   0.661616     
100    0.328767   0.893058   0.876530    0.990777   0.835772   0.966817   0.644512     
101    0.328026   0.894233   0.878535    0.989838   0.835772   0.966249   0.649580     
102    0.329398   0.897757   0.882984    0.989227   0.835772   0.965503   0.663262    
103    0.330448   0.893842   0.877120    0.991323   0.835772   0.966652   0.643748    
104    0.325216   0.897367   0.880753    0.991128   0.835772   0.966658   0.655775    
105    0.330411   0.897758   0.880391    0.992408   0.835772   0.966085   0.653989    
106    0.332175   0.892278   0.878143    0.987580   0.835772   0.965634   0.648806   
107    0.336157   0.889141   0.873449    0.988514   0.835772   0.964826   0.632217    
108    0.335777   0.895409   0.879754    0.989843   0.835772   0.962344   0.654227    
109    0.336930   0.893842   0.877528    0.990190   0.835772   0.963137   0.645957   
110    0.331684   0.889926   0.874379    0.988535   0.835772   0.964937   0.637133    
111    0.339514   0.896588   0.881679    0.989333   0.835772   0.962899   0.656458   
112    0.341833   0.893843   0.877054    0.990895   0.835772   0.962089   0.645317    
113    0.337156   0.897369   0.881259    0.990799   0.835772   0.963881   0.655783   
114    0.345987   0.888753   0.874718    0.986334   0.835772   0.961016   0.637667     
115    0.344157   0.888754   0.871614    0.991409   0.835772   0.962989   0.620850     
116    0.343825   0.897372   0.880541    0.991723   0.835772   0.964107   0.652962     
117    0.334635   0.894239   0.878402    0.989727   0.835772   0.964004   0.648654     
118    0.345621   0.891497   0.874626    0.990876   0.835772   0.960879   0.637571     
119    0.337701   0.893452   0.875854    0.992380   0.835772   0.964967   0.638593     
120    0.341034   0.895412   0.879156    0.990968   0.835772   0.962845   0.654034     
121    0.344181   0.887184   0.868684    0.993047   0.835772   0.962904   0.617850    
122    0.334728   0.889145   0.873438    0.988659   0.835772   0.963895   0.637126     
123    0.337319   0.888361   0.871487    0.990295   0.835772   0.962923   0.629117    
124    0.333507   0.892667   0.877089    0.989114   0.835772   0.963506   0.645747     
125    0.339973   0.886010   0.872094    0.986117   0.835772   0.962854   0.634853    
126    0.344719   0.889138   0.874525    0.988353   0.835772   0.961497   0.636089    
127    0.348735   0.889534   0.873500    0.989701   0.835772   0.960182   0.634589     
128    0.352380   0.885222   0.867962    0.991439   0.835772   0.958823   0.596425     
129    0.339259   0.889532   0.872275    0.991388   0.835772   0.961565   0.629843     
130    0.343695   0.887576   0.870445    0.991211   0.835772   0.960814   0.622098    
131    0.336604   0.894232   0.877771    0.990853   0.835772   0.961547   0.646288    
132    0.342194   0.893059   0.875504    0.992432   0.835772   0.962477   0.638120    
133    0.352534   0.887575   0.872121    0.989446   0.835772   0.962339   0.625705    
134    0.352777   0.886006   0.869477    0.990330   0.835772   0.959876   0.619228     
135    0.354725   0.887961   0.870760    0.991294   0.835772   0.958154   0.624372    
136    0.339634   0.894622   0.880236    0.987637   0.835772   0.959941   0.660888    
137    0.337669   0.888748   0.873637    0.988240   0.835772   0.964409   0.636024    
138    0.345610   0.882483   0.864086    0.992469   0.835772   0.960834   0.602300    
139    0.339838   0.892269   0.875658    0.991228   0.835772   0.960491   0.636791    
140    0.347069   0.890314   0.872041    0.993021   0.835772   0.958651   0.626628     
141    0.339513   0.887967   0.872759    0.988005   0.835772   0.963052   0.627070    
142    0.351809   0.885616   0.869044    0.989612   0.835772   0.959108   0.620047     
143    0.357170   0.883268   0.867754    0.987850   0.835772   0.959973   0.616443     
144    0.342585   0.889144   0.874503    0.987645   0.835772   0.959095   0.636177     
145    0.334295   0.893054   0.875714    0.991739   0.835772   0.964043   0.642218    
146    0.340508   0.889538   0.872784    0.990117   0.835772   0.960985   0.632409     
147    0.333473   0.894622   0.878129    0.990760   0.835772   0.962627   0.650584     
148    0.338054   0.894624   0.877452    0.992034   0.835772   0.960831   0.647301    
149    0.342076   0.891102   0.874736    0.989629   0.835772   0.960140   0.641309    
150    0.346379   0.891490   0.873771    0.992437   0.835772   0.957876   0.634338   
=====================================================================================

STATISTICHE FINALI:
===============================================

🔹 VAL_LOSS:
   Rounds disponibili  : 150
   Valore iniziale     : 0.768813
   Valore finale       : 0.346379
   Valore minimo       : 0.304919
   Valore massimo      : 0.768813
   Valore medio        : 0.358577
   Miglioramento       : -0.327265 📉

🔹 GLOBAL_ACCURACY:
   Rounds disponibili  : 150
   Valore iniziale     : 0.729478
   Valore finale       : 0.891490
   Valore minimo       : 0.729478
   Valore massimo      : 0.914215
   Valore medio        : 0.884930
   Miglioramento       : +0.124026 📈

🔹 GLOBAL_PRECISION:
   Rounds disponibili  : 150
   Valore iniziale     : 0.722834
   Valore finale       : 0.873771
   Valore minimo       : 0.722834
   Valore massimo      : 0.900689
   Valore medio        : 0.869380
   Miglioramento       : +0.113933 📈

🔹 GLOBAL_RECALL:
   Rounds disponibili  : 150
   Valore iniziale     : 0.990443
   Valore finale       : 0.992437
   Valore minimo       : 0.983221
   Valore massimo      : 0.997274
   Valore medio        : 0.989414
   Miglioramento       : -0.001627 📉

🔹 GLOBAL_F1_SCORE:
   Rounds disponibili  : 150
   Valore iniziale     : 0.819221
   Valore finale       : 0.835772
   Valore minimo       : 0.819221
   Valore massimo      : 0.835772
   Valore medio        : 0.835689
   Miglioramento       : +0.016552 📈

🔹 GLOBAL_AUC_ROC:
   Rounds disponibili  : 150
   Valore iniziale     : 0.825310
   Valore finale       : 0.957876
   Valore minimo       : 0.825310
   Valore massimo      : 0.972985
   Valore medio        : 0.958277
   Miglioramento       : +0.106839 📈

🔹 GLOBAL_SPECIFICITY:
   Rounds disponibili  : 150
   Valore iniziale     : 0.137772
   Valore finale       : 0.634338
   Valore minimo       : 0.137772
   Valore massimo      : 0.723690
   Valore medio        : 0.616259
   Miglioramento       : +0.369857 📈

ADDESTRAMENTO COMPLETATO!
