client_id	round	val_accuracy	val_f1_score	val_precision	val_recall
4	1	0.9434697855750487	0.9575402635431918	0.956140350877193	0.9589442815249267
12	1	0.9339805825242719	0.9512893982808023	0.9431818181818182	0.9595375722543352
5	1	0.958904109589041	0.97165991902834	0.9703504043126685	0.972972972972973
14	1	0.9447731755424064	0.9628647214854111	0.9654255319148937	0.9603174603174603
1	1	0.9432048681541582	0.964735516372796	0.9433497536945813	0.9871134020618557
9	2	0.6888045540796964	0.8136363636363636	0.685823754789272	1.0
12	2	0.8038834951456311	0.8723135271807838	0.7752808988764045	0.9971098265895953
11	2	0.7869481765834933	0.8776185226019846	0.7834645669291339	0.9974937343358395
15	2	0.6884615384615385	0.8076009501187649	0.6813627254509018	0.9912536443148688
7	2	0.7687861271676301	0.8672566371681416	0.7671232876712328	0.9974554707379135
6	3	0.7128309572301426	0.8323424494649228	0.7128309572301426	1.0
2	3	0.718562874251497	0.833922261484099	0.7151515151515152	1.0
5	3	0.735812133072407	0.8457142857142858	0.7326732673267327	1.0
14	3	0.7692307692307693	0.865979381443299	0.7636363636363637	1.0
10	3	0.7168784029038112	0.8347457627118644	0.7163636363636363	1.0
1	4	0.7910750507099391	0.8828213879408419	0.790224032586558	1.0
2	4	0.7225548902195609	0.8358913813459268	0.718052738336714	1.0
5	4	0.7592954990215264	0.8574739281575898	0.7505070993914807	1.0
11	4	0.781190019193858	0.875	0.7777777777777778	1.0
4	4	0.6647173489278753	0.7985948477751756	0.6647173489278753	1.0
4	5	0.6666666666666666	0.7995310668229777	0.666015625	1.0
8	5	0.720532319391635	0.8375690607734807	0.720532319391635	1.0
9	5	0.6774193548387096	0.8076923076923077	0.6787072243346007	0.9972067039106145
12	5	0.6737864077669903	0.8046511627906977	0.6731517509727627	1.0
3	5	0.7140186915887851	0.8331515812431843	0.7140186915887851	1.0
6	6	0.7128309572301426	0.8323424494649228	0.7128309572301426	1.0
4	6	0.6647173489278753	0.7985948477751756	0.6647173489278753	1.0
10	6	0.7168784029038112	0.8347457627118644	0.7163636363636363	1.0
15	6	0.6596153846153846	0.7949015063731171	0.6596153846153846	1.0
12	6	0.6737864077669903	0.8046511627906977	0.6731517509727627	1.0
4	7	0.6647173489278753	0.7985948477751756	0.6647173489278753	1.0
8	7	0.720532319391635	0.8375690607734807	0.720532319391635	1.0
6	7	0.7128309572301426	0.8323424494649228	0.7128309572301426	1.0
9	7	0.6793168880455408	0.8090395480225989	0.6793168880455408	1.0
3	7	0.7140186915887851	0.8331515812431843	0.7140186915887851	1.0
12	8	0.6757281553398058	0.8055878928987195	0.6744639376218323	1.0
2	8	0.7065868263473054	0.8280701754385965	0.7065868263473054	1.0
15	8	0.6615384615384615	0.7958236658932715	0.6608863198458574	1.0
9	8	0.6793168880455408	0.8090395480225989	0.6793168880455408	1.0
11	8	0.7658349328214972	0.8673913043478261	0.7658349328214972	1.0
5	9	0.7436399217221135	0.8495981630309989	0.7385229540918163	1.0
14	9	0.7455621301775148	0.8542372881355932	0.7455621301775148	1.0
15	9	0.6634615384615384	0.7967479674796748	0.6621621621621622	1.0
11	9	0.763915547024952	0.8661588683351469	0.7653846153846153	0.9974937343358395
9	9	0.6793168880455408	0.8090395480225989	0.6793168880455408	1.0
10	10	0.7150635208711433	0.8335100742311771	0.7158469945355191	0.9974619289340102
2	10	0.7085828343313373	0.8290398126463701	0.708	1.0
1	10	0.8032454361054767	0.8888888888888888	0.8	1.0
4	10	0.6686159844054581	0.8004694835680751	0.6673189823874756	1.0
15	10	0.6596153846153846	0.7949015063731171	0.6596153846153846	1.0
14	11	0.7455621301775148	0.8542372881355932	0.7455621301775148	1.0
7	11	0.7630057803468208	0.8646864686468647	0.7616279069767442	1.0
11	11	0.763915547024952	0.8661588683351469	0.7653846153846153	0.9974937343358395
6	11	0.7128309572301426	0.8323424494649228	0.7128309572301426	1.0
8	11	0.720532319391635	0.8375690607734807	0.720532319391635	1.0
12	12	0.6796116504854369	0.8065650644783119	0.6785009861932939	0.9942196531791907
2	12	0.7105788423153693	0.8300117233294255	0.7094188376753507	1.0
4	12	0.6647173489278753	0.7985948477751756	0.6647173489278753	1.0
1	12	0.8356997971602435	0.9052631578947369	0.828693790149893	0.9974226804123711
11	12	0.7677543186180422	0.8680479825517994	0.7683397683397684	0.9974937343358395
11	13	0.7658349328214972	0.8671023965141612	0.766859344894027	0.9974937343358395
14	13	0.7455621301775148	0.8542372881355932	0.7455621301775148	1.0
4	13	0.6686159844054581	0.8004694835680751	0.6673189823874756	1.0
